british_lexicon,american_lexicon
aeon,eon
aeroplane,airplane
aesthetic,esthetic
anaemia,anemia
anaesthesia,anesthesia
annexe,annex
appal,appall
arbour,arbor
ardour,arbor
armour,armor
artefact,artifact
behaviour,behavior
calibre,caliber
candour,candor
carburettor,carburetor
centre,center
cheque(banking),check
chequerboard,checkerboard
chequered,checkered
clamour,clamor
colour,color
cosy,cozy
counsellor,counselor
defence,defense
demeanour,demeanor
diarrhoea,diarrhea
dishevelled,disheveled
distil,distill
doughnut,donut
draught,draft
endeavour,endeavor
enrol,enroll
favour,favor
fibre,fiber
flavour,flavor
fulfil,fufill
gaol,jail
glycerine,glycerin
gonorrhoea,gonorrhea
gramme,gram
grey,gray
grille(noun),grill
gynaecologist,gynecologist
harbour,habor
honour,honor
humour,humor
instalment,installment
instil,instill
jewellery,jewelry
kerb(noun),curb
labour,labor
licence(noun),license
litre,liter
lustre,luster
manoeuvre,maneuver
meagre,meager
metre,meter
neighbour,neighbor
odour,odor
offence,offense
paediatrician,pediatrician
parlour,parlor
plough,plow
pretence,pretense
programme,program
rancour,rancor
rigour,rigor
rumour,rumor
sabre,saber
saviour,savior
savour,savor
sceptical,skeptical
sceptre,scepter
sepulchre,sepulcher
skilful,skillful
sombre,somber
splendour,splendor
sulphur,sulfur
theatre,theater
tonne,ton
tumour,tumor
valour,valor
vigour,vigor
woollen,woollen
