Supervisor Synonyms and Terms,Additional Contextual Terms,In the Context of Neurodiversity,Legal and Ethical
supervisor,performance,accommodation,compliance
manager,productivity,inclusion,regulation
team leader,workload,diversity,policy
boss,task,accessibility,ethics
coordinator,assignment,adjustment,rights
director,project,sensitivity,discrimination
head,schedule,understanding,harassment
chief,deadline,empathy,equity
officer,goal,flexibility,fairness
administrator,objective,tolerance,advocacy
oversight,,,
management,,,
leadership,,,
supervision,,,
direction,,,
guidance,,,
mentorship,,,
coaching,,,
feedback,,,
appraisal,,,
subordinate,,,
,,,
